species,locality,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.9786,2013-06-12,12,6,2013
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.9786,2013-04-02,2,4,2013
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.9786,2013-05-20,20,5,2013
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.829445,144.978607,2012-11-11,11,11,2012
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.829445,144.978607,2012-10-31,31,10,2012
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.829445,144.978607,2012-07-24,24,7,2012
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.829445,144.978607,2012-05-22,22,5,2012
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.829445,144.978607,2012-08-29,29,8,2012
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.829445,144.978607,2012-06-19,19,6,2012
Gymnorhina tibicen,Melbourne Botanical Gardens,,-37.830555,144.978058,2011-12-23,23,12,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-11-18,18,11,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-12-08,8,12,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-10-22,22,10,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-10-10,10,10,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-08-31,31,8,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-07-14,14,7,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-05-19,19,5,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-04-18,18,4,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-03-25,25,3,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-02-10,10,2,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-06-09,9,6,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2011-02-20,20,2,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2010-09-13,13,9,2010
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2010-08-16,16,8,2010
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2010-03-12,12,3,2010
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2010-04-16,16,4,2010
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.97861,2010-05-17,17,5,2010
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82,144.97,2009-10-12,12,10,2009
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82,144.97,2009-12-11,11,12,2009
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82,144.97,2009-11-11,11,11,2009
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.9786,2009-07-30,30,7,2009
Gymnorhina tibicen,"Royal Botanic Gardens, Melbourne",,-37.82944,144.9786,2009-08-22,22,8,2009
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.83333,144.9833,2009-05-18,18,5,2009
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.83333,144.9833,2009-02-11,11,2,2009
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.83333,144.9833,2009-04-08,8,4,2009
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.82944,144.9786,2009-05-29,29,5,2009
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.83333,144.9833,2009-03-08,8,3,2009
Gymnorhina tibicen,Royal Botanic Gardens,,-37.83,144.9803,2009-02-04,4,2,2009
Gymnorhina tibicen,MW - Flemington Racecourse,2,-37.78694,144.9169,2016-05-24,24,5,2016
Gymnorhina tibicen,"MW - Trin Warren Tam-boore, Royal Park",2,-37.78222,144.9431,2016-05-22,22,5,2016
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2016-05-12,12,5,2016
Gymnorhina tibicen,Melbourne Botanical Gardens S,1,-37.83278,144.9803,2016-04-19,19,4,2016
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2015-07-20,20,7,2015
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2015-07-14,14,7,2015
Gymnorhina tibicen,"MW - Trin Warren Tam-boore, Royal Park",1,-37.78222,144.9431,2015-10-05,5,10,2015
Gymnorhina tibicen,Melbourne Zoo,1,-37.78222,144.9508,2015-05-24,24,5,2015
Gymnorhina tibicen,Melbourne Zoo,4,-37.78222,144.9508,2015-06-14,14,6,2015
Gymnorhina tibicen,"Royal Park, Parkville",,-37.79167,144.9567,2015-08-12,12,8,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2015-06-03,3,6,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2015-05-26,26,5,2015
Gymnorhina tibicen,MW - Flemington Racecourse,2,-37.78694,144.9169,2015-04-27,27,4,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2015-04-21,21,4,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.80583,144.9358,2015-04-15,15,4,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2015-04-08,8,4,2015
Gymnorhina tibicen,"MW - Trin Warren Tam-boore, Royal Park",2,-37.78222,144.9431,2015-01-29,29,1,2015
Gymnorhina tibicen,"Royal Park, Parkville",,-37.79167,144.9567,2015-03-16,16,3,2015
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2015-02-03,3,2,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2015-02-04,4,2,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2015-01-19,19,1,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2015-01-12,12,1,2015
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.80583,144.9358,2014-11-24,24,11,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.80583,144.9358,2014-11-17,17,11,2014
Gymnorhina tibicen,"MW - Trin Warren Tam-boore, Royal Park",3,-37.78306,144.9433,2014-10-21,21,10,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.80583,144.9358,2014-10-14,14,10,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-10-01,1,10,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.80583,144.9358,2014-09-24,24,9,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.80583,144.9358,2014-09-17,17,9,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.80583,144.9358,2014-09-10,10,9,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.80583,144.9358,2014-09-03,3,9,2014
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2014-05-23,23,5,2014
Gymnorhina tibicen,MW - Flemington Racecourse,2,-37.78694,144.9169,2014-08-28,28,8,2014
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2014-05-10,10,5,2014
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2014-05-08,8,5,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.9358,2014-08-18,18,8,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-08-13,13,8,2014
Gymnorhina tibicen,"Royal Park, Melbourne",,-37.79167,144.9564,2014-07-28,28,7,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.80583,144.9358,2014-07-23,23,7,2014
Gymnorhina tibicen,"MW - Trin Warren Tam-boore, Royal Park",2,-37.78306,144.9433,2014-07-10,10,7,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.80583,144.9358,2014-07-16,16,7,2014
Gymnorhina tibicen,MW - Flemington Racecourse,2,-37.78694,144.9169,2014-07-08,8,7,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,6,-37.80583,144.9358,2014-07-09,9,7,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,6,-37.80583,144.9358,2014-06-30,30,6,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-06-25,25,6,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.80583,144.9358,2014-06-18,18,6,2014
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2014-03-26,26,3,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-06-02,2,6,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-05-27,27,5,2014
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2014-01-06,6,1,2014
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2013-11-04,4,11,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-05-20,20,5,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-05-14,14,5,2014
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2013-10-04,4,10,2013
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2013-07-31,31,7,2013
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2013-05-16,16,5,2013
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2013-04-11,11,4,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-04-22,22,4,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-04-16,16,4,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-04-08,8,4,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-04-01,1,4,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.80583,144.9358,2014-03-26,26,3,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-03-17,17,3,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-03-04,4,3,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-02-26,26,2,2014
Gymnorhina tibicen,"MW - Trin Warren Tam-boore, Royal Park",2,-37.78306,144.9433,2014-02-24,24,2,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-02-18,18,2,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-02-11,11,2,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.80583,144.9358,2014-01-30,30,1,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.80583,144.9358,2014-02-04,4,2,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2014-01-21,21,1,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2014-01-14,14,1,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.80583,144.9358,2014-01-07,7,1,2014
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.80583,144.9358,2014-01-02,2,1,2014
Gymnorhina tibicen,MW - Flemington Racecourse,2,-37.78694,144.9169,2013-11-21,21,11,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2013-12-23,23,12,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.80583,144.9358,2013-12-17,17,12,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.80583,144.9358,2013-12-12,12,12,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.80583,144.9358,2013-11-26,26,11,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2013-11-19,19,11,2013
Gymnorhina tibicen,"Royasl Park, Parkville",,-37.79167,144.9567,2013-10-09,9,10,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.80583,144.9358,2013-09-24,24,9,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2013-09-16,16,9,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2013-09-10,10,9,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.805828,144.935837,2013-09-03,3,9,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.805828,144.935837,2013-08-22,22,8,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.805828,144.935837,2013-08-27,27,8,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2013-08-14,14,8,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2013-08-01,1,8,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2013-07-23,23,7,2013
Gymnorhina tibicen,westgate park,,-37.831669,144.911118,2013-02-15,15,2,2013
Gymnorhina tibicen,westgate park,,-37.831669,144.911118,2013-02-11,11,2,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2013-07-16,16,7,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,6,-37.805828,144.935837,2013-06-11,11,6,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2013-03-05,5,3,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2013-05-21,21,5,2013
Gymnorhina tibicen,"Royal Park, Parkville",,-37.791672,144.95694,2013-05-07,7,5,2013
Gymnorhina tibicen,Melbourne Zoo,3,-37.782219,144.950836,2013-01-14,14,1,2013
Gymnorhina tibicen,"Royal Park, Parkville",,-37.791939,144.95639,2013-04-10,10,4,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2013-03-20,20,3,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2013-03-05,5,3,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2013-02-19,19,2,2013
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.805828,144.935837,2012-02-13,13,2,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.805828,144.935837,2012-03-14,14,3,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.805828,144.935837,2012-02-29,29,2,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2012-02-07,7,2,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.805828,144.935837,2012-02-22,22,2,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-04-04,4,4,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.805828,144.935837,2012-03-09,9,3,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.805828,144.935837,2012-03-23,23,3,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-01-31,31,1,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-02-17,17,2,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2012-03-13,13,3,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,4,-37.805828,144.935837,2012-03-02,2,3,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-04-02,2,4,2012
Gymnorhina tibicen,Melbourne Zoo,,-37.785,144.951675,2013-01-12,12,1,2013
Gymnorhina tibicen,westgate park,,-37.831669,144.911118,2012-12-06,6,12,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.805828,144.935837,2012-06-06,6,6,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.805828,144.935837,2012-07-03,3,7,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-09-26,26,9,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-08-14,14,8,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,3,-37.805828,144.935837,2012-09-20,20,9,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-11-20,20,11,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,5,-37.805828,144.935837,2012-12-05,5,12,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2012-06-19,19,6,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,2,-37.805828,144.935837,2012-08-21,21,8,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.805828,144.935837,2013-01-22,22,1,2013
Gymnorhina tibicen,Melbourne Botanic Gardens,,-37.83028,144.9811,2012-11-10,10,11,2012
Gymnorhina tibicen,Westgate Park,,-37.83222,144.91,2012-11-03,3,11,2012
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2012-08-03,3,8,2012
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2012-06-25,25,6,2012
Gymnorhina tibicen,westgate park,,-37.83167,144.9111,2012-02-18,18,2,2012
Gymnorhina tibicen,Melbourne Zoo,1,-37.78222,144.95084,2011-10-22,22,10,2011
Gymnorhina tibicen,Fixed Cycle Moonee Creek,1,-37.80583,144.9358,2012-07-10,10,7,2012
Gymnorhina tibicen,Melbourne Uni,,-37.78833,144.9586,2012-02-03/2012-02-05,,2,2012
Gymnorhina tibicen,showgrounds ascot vale,2,-37.78306,144.9156,2012-06-14,14,6,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-05-24,24,5,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-05-22,22,5,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-03-30,30,3,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-04-30,30,4,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-04-04,4,4,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-04-19,19,4,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-05-01,1,5,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-04-16,16,4,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-04-03,3,4,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-04-12,12,4,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-04-02,2,4,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-03-27,27,3,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-05-07,7,5,2012
Gymnorhina tibicen,vic netball cntr,2,-37.78417,144.9472,2012-03-27,27,3,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-03-08,8,3,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-03-26,26,3,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-03-07,7,3,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-02-21,21,2,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-02-29,29,2,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-02-28,28,2,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-02-08,8,2,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-02-22,22,2,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-07,7,12,2011
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.9358,2012-01-17,17,1,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-14,14,12,2011
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-09,9,12,2011
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.9358,2012-01-11,11,1,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-06,6,12,2011
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-08,8,12,2011
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-12,12,12,2011
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.9358,2012-01-13,13,1,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-23,23,12,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-01-24,24,1,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-22,22,12,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-01-18,18,1,2012
Gymnorhina tibicen,Fixed Cycle Moonee Creek,,-37.80583,144.93584,2011-12-15,15,12,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-01-19,19,1,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-01-11,11,1,2012
Gymnorhina tibicen,Melbourne Botanic gardens,,-37.82833,144.98306,2011-11-26,26,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.9542,2012-01-05,5,1,2012
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-12-20,20,12,2011
Gymnorhina tibicen,"Royal Park, Parkville",,-37.78194,144.94167,2010-12-15,15,12,2010
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-12-16,16,12,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-12-19,19,12,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-12-21,21,12,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-12-15,15,12,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melb",,-37.83056,144.98334,2011-02-23,23,2,2011
Gymnorhina tibicen,"Royal Botanic Gardens, Melb",,-37.83056,144.98334,2010-03-03,3,3,2010
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-23,23,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-24,24,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-17,17,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-21,21,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-10,10,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-08,8,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-03,3,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-11-07,7,11,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-25,25,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-19,19,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-18,18,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-21,21,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-14,14,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-05,5,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-07,7,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-10-11,11,10,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-09-29,29,9,2011
Gymnorhina tibicen,"Flagstaff Gardens, Melbourne",,-37.81056,144.95416,2011-09-15,15,9,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-09-09,9,9,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-08-31,31,8,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-08-29,29,8,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-08-23,23,8,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-08-17,17,8,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-08-18,18,8,2011
Gymnorhina tibicen,"Carlton Gardens, Melbourne",,-37.80528,144.97166,2011-08-15,15,8,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-08-09,9,8,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-08-08,8,8,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.81083,144.95416,2011-07-28,28,7,2011
Gymnorhina tibicen,"Flagstaff Gardens, Melbourne",,-37.81056,144.95416,2011-08-01,1,8,2011
Gymnorhina tibicen,westgate park,,-37.83167,144.91112,2011-03-02,2,3,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.810829,144.954163,2011-07-14,14,7,2011
Gymnorhina tibicen,Flagstaff Gardens,,-37.810829,144.954163,2011-07-15,15,7,2011
Gymnorhina tibicen,Wetlands Treatment,3,-37.782219,144.943329,2011-04-17,17,4,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-02-10,10,2,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-02-11,11,2,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-21,21,1,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-13,13,1,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-18,18,1,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-20,20,1,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-11,11,1,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-12,12,1,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-04,4,1,2011
Gymnorhina tibicen,Peter Mac HospitalFitzroy Gar,,-37.811668,144.977783,2011-01-10,10,1,2011
